neutral,positive,negative,sum,neurate,posrate,negrate,increase,increaserange
514,289,137,940,0.546808511,0.307446809,0.145744681,66645,3
462,253,194,909,0.508250825,0.278327833,0.213421342,63007,2
394,339,148,881,0.447219069,0.384790011,0.167990919,60978,2
694,401,168,1263,0.549485352,0.317498021,0.133016627,58465,1
712,452,318,1482,0.480431849,0.304993252,0.214574899,62879,2
574,351,235,1160,0.494827586,0.302586207,0.202586207,65382,3
649,445,154,1248,0.520032051,0.356570513,0.123397436,70953,4
667,449,206,1322,0.504538578,0.339636914,0.155824508,77233,4
479,347,277,1103,0.434270172,0.314596555,0.251133273,65180,3
362,348,184,894,0.4049217,0.389261745,0.205816555,64884,2
492,430,210,1132,0.434628975,0.379858657,0.185512367,56971,1
634,400,138,1172,0.540955631,0.341296928,0.11774744,63642,2
638,413,161,1212,0.52640264,0.340759076,0.132838284,69150,3
556,419,166,1141,0.487291849,0.367221735,0.145486415,71354,4
728,479,129,1336,0.54491018,0.358532934,0.096556886,75204,4
396,278,98,772,0.512953368,0.360103627,0.126943005,65075,3
319,258,102,679,0.469808542,0.379970545,0.150220913,61713,2
1076,668,258,2002,0.537462537,0.333666334,0.128871129,55134,1
654,637,402,1693,0.386296515,0.376255168,0.237448317,56229,1
689,504,341,1534,0.449152542,0.328552803,0.222294654,66969,3
667,348,142,1157,0.576490925,0.300777874,0.122731201,69466,3
504,356,130,990,0.509090909,0.35959596,0.131313131,67755,3
435,266,147,848,0.512971698,0.313679245,0.173349057,60692,2
608,372,189,1169,0.520102652,0.318220701,0.161676647,48266,0
103,75,46,224,0.459821429,0.334821429,0.205357143,49561,0